2.038336812553761049e-02,7.616709536217886045e-02,5.152077950015436503e-02,1.100000000000000000e+01
7.390671694582094664e-02,2.178140301519029126e-02,6.912908870977020614e-02,7.000000000000000000e+00
4.196233218461637576e-02,2.358803274844437428e-02,4.393053549834904925e-02,7.000000000000000000e+00
3.727846385276100544e-02,8.014614329832231432e-02,4.796584231979658143e-03,1.100000000000000000e+01
8.968095688510045738e-02,9.960566156553189721e-02,9.424851334068912179e-02,4.000000000000000000e+00
7.478700404945008706e-02,3.383861573403947054e-02,6.703988521010366408e-02,1.100000000000000000e+01
2.840867736761482076e-02,6.818035700972718306e-03,8.688164399066827803e-02,1.900000000000000000e+01
7.735124757527209183e-02,1.048072164674314355e-02,2.381677763239600440e-02,1.600000000000000000e+01
2.573139340858133714e-02,8.308319573078359888e-02,7.176588961767559061e-02,1.600000000000000000e+01
8.531317112193563534e-02,2.449088097712291690e-02,6.977378531539100981e-02,6.000000000000000000e+00
2.038336812553761049e-02,7.616709536217886045e-02,5.152077950015436503e-02,1.100000000000000000e+01
7.390671694582094664e-02,2.178140301519029126e-02,6.912908870977020614e-02,7.000000000000000000e+00
4.196233218461637576e-02,2.358803274844437428e-02,4.393053549834904925e-02,7.000000000000000000e+00
3.727846385276100544e-02,8.014614329832231432e-02,4.796584231979658143e-03,1.100000000000000000e+01
8.968095688510045738e-02,9.960566156553189721e-02,9.424851334068912179e-02,4.000000000000000000e+00
7.478700404945008706e-02,3.383861573403947054e-02,6.703988521010366408e-02,1.100000000000000000e+01
2.840867736761482076e-02,6.818035700972718306e-03,8.688164399066827803e-02,1.900000000000000000e+01
7.735124757527209183e-02,1.048072164674314355e-02,2.381677763239600440e-02,1.600000000000000000e+01
2.573139340858133714e-02,8.308319573078359888e-02,7.176588961767559061e-02,1.600000000000000000e+01
8.531317112193563534e-02,2.449088097712291690e-02,6.977378531539100981e-02,6.000000000000000000e+00
2.038336812553761049e-02,7.616709536217886045e-02,5.152077950015436503e-02,1.100000000000000000e+01
7.390671694582094664e-02,2.178140301519029126e-02,6.912908870977020614e-02,7.000000000000000000e+00
4.196233218461637576e-02,2.358803274844437428e-02,4.393053549834904925e-02,7.000000000000000000e+00
3.727846385276100544e-02,8.014614329832231432e-02,4.796584231979658143e-03,1.100000000000000000e+01
8.968095688510045738e-02,9.960566156553189721e-02,9.424851334068912179e-02,4.000000000000000000e+00
7.478700404945008706e-02,3.383861573403947054e-02,6.703988521010366408e-02,1.100000000000000000e+01
2.840867736761482076e-02,6.818035700972718306e-03,8.688164399066827803e-02,1.900000000000000000e+01
